CCMatrix	v1	1104952	1/60002	0
GNOME	v1	123	0/60002	0
QED	v2.0a	4029	0/60002	0
Tatoeba	v20190709	22906	0/60002	0
Tatoeba	v2020-05-31	23680	0/60002	0
Tatoeba	v2020-11-09	24007	0/60002	0
Tatoeba	v2021-03-10	24137	0/60002	0
Tatoeba	v2021-07-22	24314	0/60002	0
Tatoeba	v2022-03-03	24484	0/60002	0
Tatoeba	v2	6970	0/60002	0
TED2020	v1	21	0/60002	0
Ubuntu	v14.10	569	0/60002	0
WikiMatrix	v1	32281	0/60002	0
wikimedia	v20190628	1173	0/60002	0
wikimedia	v20210402	1476	0/60002	0
XLEnt	v1.1	196295	0/60002	0
XLEnt	v1.2	196295	0/60002	0
XLEnt	v1	196295	0/60002	0
