CCMatrix	v1	17411601	70/2726	2.56
ELRC_2922	v1	963	0/2726	0
ELRC-3053-wikipedia_health	v1	963	0/2726	0
ELRC-wikipedia_health	v1	963	0/2726	0
HPLT	v1	902828	64/2726	2.34
KDE4	v2	139800	253/2726	9.28
Mozilla-I10n	v1	24918	170/2726	6.23
MultiHPLT	v1	902828	64/2726	2.34
MultiParaCrawl	v7.1	927976	48/2726	1.76
MultiParaCrawl	v8	5895657	97/2726	3.55
MultiParaCrawl	v9b	1794691	65/2726	2.38
MultiParaCrawl	v9	1794691	65/2726	2.38
NeuLab-TedTalks	v1	12345	0/2726	0
NLLB	v1	103035267	116/2726	4.25
OpenSubtitles	v2012	636	0/2726	0
OpenSubtitles	v2013	15	0/2726	0
OpenSubtitles	v2016	206682	11/2726	.40
OpenSubtitles	v2018	256116	12/2726	.44
ParaCrawl	v7.1	927976	48/2726	1.76
ParaCrawl	v8	5895657	97/2726	3.55
ParaCrawl	v9	1794691	65/2726	2.38
QED	v2.0a	38358	4/2726	.14
Tatoeba	v20190709	4486	0/2726	0
Tatoeba	v2020-05-31	4504	0/2726	0
Tatoeba	v2020-11-09	4626	0/2726	0
Tatoeba	v2021-03-10	4739	0/2726	0
Tatoeba	v2021-07-22	4752	0/2726	0
Tatoeba	v2022-03-03	4753	0/2726	0
Tatoeba	v2023-04-12	4824	0/2726	0
Tatoeba	v2	3995	0/2726	0
TED2020	v1	36413	0/2726	0
Ubuntu	v14.10	45	1/2726	.03
WikiMatrix	v1	1961525	6/2726	.22
wikimedia	v20190628	2557	1/2726	.03
wikimedia	v20210402	250568	13/2726	.47
wikimedia	v20230407	399493	26/2726	.95
XLEnt	v1.1	1290862	145/2726	5.31
XLEnt	v1.2	1290862	145/2726	5.31
XLEnt	v1	1290862	145/2726	5.31
